Year	Month	Day	Temperature
2018	1	18	11.1
2018	1	19	10.4
2018	1	20	12.54
2018	1	21	14.67
2018	1	22	15.26
2018	1	23	14.26
2018	1	24	13.22
2018	1	25	12.21
2018	1	26	11.94
2018	1	27	12.47
2018	1	28	12.26
2018	1	29	11.89
2018	1	30	11.17
2018	1	31	11.02
2018	2	1	11.23
2018	2	2	14.3
2018	2	3	11.35
2018	2	4	10.41
2018	2	5	10.37
2018	2	6	10.89
2018	2	7	10.19
2018	2	8	10.34
2018	2	9	9.65
2018	2	10	10.21
2018	2	11	10.93
2018	2	12	12.45
2018	2	13	10.52
2018	2	14	8.96
2018	2	15	10.51
2018	2	16	12.65
2018	2	17	12
2018	2	18	12.4
2018	2	19	11.4
2018	2	20	11.42
2018	2	21	11.35
2018	2	22	10.56
2018	2	23	10.13
2018	2	24	11.67
2018	2	25	11.62
2018	2	26	10.77
2018	2	27	9.87
2018	2	28	13.76
2018	3	1	14.9
2018	3	2	14.42
2018	3	3	14.62
2018	3	4	14.49
2018	3	5	14.82
2018	3	6	13.33
2018	3	7	12.51
2018	3	8	12.82
2018	3	9	14.99
2018	3	10	16.73
2018	3	11	16.05
2018	3	12	14
2018	3	13	14.3
2018	3	14	13.9
2018	3	15	15.55
2018	3	16	15.59
2018	3	17	13.38
2018	3	18	12.97
2018	3	19	12.73
2018	3	20	12.62
2018	3	21	10.44
2018	3	22	8.99
2018	3	23	11.28
2018	3	24	12.65
2018	3	25	10.95
2018	3	26	12.97
2018	3	27	13.23
2018	3	28	14.37
2018	3	29	16.74
2018	3	30	17.07
2018	3	31	14.87
2018	4	1	13.93
2018	4	2	15.44
2018	4	3	17.37
2018	4	4	16.78
2018	4	5	16.45
2018	4	6	16.58
2018	4	7	16.79
2018	4	8	16.92
2018	4	9	16
2018	4	10	15.73
2018	4	11	17.84
2018	4	12	15.09
2018	4	13	16.02
2018	4	14	15.75
2018	4	15	16.8
2018	4	16	17.27
2018	4	17	15.76
2018	4	18	16.76
2018	4	19	16.4
2018	4	20	16.95
2018	4	21	18.82
2018	4	22	19.28
2018	4	23	19.81
2018	4	24	21.37
2018	4	25	22.17
2018	4	26	20.75
2018	4	27	19.73
2018	4	28	19.14
2018	4	29	20.51
2018	4	30	18.21
2018	5	1	18.77
2018	5	2	15.7
2018	5	3	15.65
2018	5	4	16.55
2018	5	5	17.86
2018	5	6	17.74
2018	5	7	18.91
2018	5	8	18.87
2018	5	9	18.18
2018	5	10	18.86
2018	5	11	19.07
2018	5	12	20.73
2018	5	13	20.38
2018	5	14	17.76
2018	5	15	17.54
2018	5	16	19.1
2018	5	17	19.54
2018	5	18	19.3
2018	5	19	19.19
2018	5	20	19.34
2018	5	21	20.52
2018	5	22	18.23
2018	5	23	20.04
2018	5	24	21.62
2018	5	25	22.51
2018	5	26	23.08
2018	5	27	23.73
2018	5	28	24.31
2018	5	29	24.26
2018	5	30	22.9
2018	5	31	22.92
2018	6	1	23.48
2018	6	2	25.2
2018	6	3	26.04
2018	6	4	23.11
2018	6	5	24.3
2018	6	6	22.39
2018	6	7	23.87
2018	6	8	23.36
2018	6	9	25.58
2018	6	10	27.48
2018	6	11	26.41
2018	6	12	25.45
2018	6	13	24.47
2018	6	14	23.19
2018	6	15	23.19
2018	6	16	24.28
2018	6	17	24.28
2018	6	18	23.77
2018	6	19	24.38
2018	6	20	25.29
2018	6	21	26.66
2018	6	22	27.05
2018	6	23	26.06
2018	6	24	25.8
2018	6	25	25.55
